,,
,,
,,
,,
,,
,,
,,
,,
,,
WayPoint,Stage,Latitude,Longitude,WPLatitude,WPLongitude,CompassBearing,GPSBearing,GPSBearingMA,BearingGoal,BearingError,Turn,Speed,GPS Accu,Dist WP
0,1,-37.59134917,145.1212197,-37.5914455,145.1212188,269,143.5,147.5,180.4,1,60,0,1443,10.69217042
0,1,-37.5913515,145.12122,-37.5914455,145.1212188,252,173.5,105.6666667,180.6,2,60,0,1426,10.43345214
0,1,-37.591353,145.1212183,-37.5914455,145.1212188,211,221.5,179.5,179.8,3,60,0,1403,10.26655518
0,1,-37.59135367,145.1212173,-37.5914455,145.1212188,170,230,208.3333333,179.3,4,0,20,1404,10.1933286
0,2,-37.5913565,145.1212167,-37.5914455,145.1212188,176,190.6,214.0333333,178.9,5,0,20,1394,9.879852827
0,2,-37.59135983,145.121217,-37.5914455,145.1212188,173,175.5,198.7,179,6,0,20,1387,9.509415587
0,2,-37.59136283,145.1212168,-37.5914455,145.1212188,164,182.5,182.8666667,178.9,-14.9,14.9,40,1377,9.176770856
0,3,-37.59136683,145.1212168,-37.5914455,145.1212188,183,180,179.3333333,178.8,4.2,-4.2,40,1365,8.73290225
0,3,-37.59137117,145.1212163,-37.5914455,145.1212188,180,185.2,182.5666667,178.5,1.5,-1.5,40,1355,8.253118388
0,3,-37.591376,145.1212165,-37.5914455,145.1212188,183,178.4,181.2,178.5,4.5,-4.5,40,1343,7.716470945
0,3,-37.59138083,145.1212163,-37.5914455,145.1212188,179,181.6,181.7333333,178.2,0.8,-0.8,40,1334,7.18066843
0,3,-37.59138483,145.1212167,-37.5914455,145.1212188,181,176.2,178.7333333,178.4,2.6,-2.6,40,1329,6.736036579
0,3,-37.59138867,145.1212167,-37.5914455,145.1212188,181,180,179.2666667,178.3,2.7,-2.7,40,1327,6.310762947
0,3,-37.5913925,145.121217,-37.5914455,145.1212188,181,176,177.4,178.4,2.6,-2.6,40,1318,5.88463222
0,3,-37.591397,145.121217,-37.5914455,145.1212188,184,180,178.6666667,178.3,5.7,-5.7,40,1319,5.385389436
0,3,-37.59140117,145.1212167,-37.5914455,145.1212188,182,183.6,179.8666667,177.8,4.2,-4.2,40,1317,4.924221084
0,3,-37.59140517,145.1212163,-37.5914455,145.1212188,168,183.8,182.4666667,177.2,-9.2,9.2,40,1322,4.481988362
0,3,-37.59141,145.1212165,-37.5914455,145.1212188,189,178.4,181.9333333,177,12,-12,40,1313,3.945486307
0,3,-37.5914145,145.1212165,-37.5914455,145.1212188,182,180,180.7333333,176.6,5.4,-5.4,40,1306,3.446817323
0,3,-37.591419,145.1212168,-37.5914455,145.1212188,182,176.6,178.3333333,176.6,5.4,-5.4,40,1309,2.9465013
0,3,-37.59142417,145.1212177,-37.5914455,145.1212188,170,172.7,176.4333333,177.5,-7.5,7.5,40,1315,2.370001063
0,3,-37.59142867,145.1212187,-37.5914455,145.1212188,180,170,173.1,179.5,0.5,-0.5,40,1314,1.868368773
0,3,-37.591433,145.1212197,-37.5914455,145.1212188,178,169.6,170.7666667,183,-5,5,40,1324,1.389310272
0,3,-37.59143633,145.121221,-37.5914455,145.1212188,179,162.3,167.3,190.7,-11.7,11.7,40,1314,1.035235802
0,3,-37.59144,145.1212217,-37.5914455,145.1212188,197,171.8,167.9,202.3,-5.3,5.3,40,1302,0.659735769
1,1,-37.59144567,145.1212222,-37.5913455,145.1211188,203,176,170.0333333,320.6,26,-60,0,1276,14.38341306
1,1,-37.5914475,145.1212242,-37.5913455,145.1211188,235,139,162.2666667,320.6,27,-60,0,1256,14.65276364
1,1,-37.59144867,145.121225,-37.5913455,145.1211188,263,150.4,155.1333333,320.7,28,-60,0,1248,14.79955405
1,1,-37.5914495,145.1212245,-37.5913455,145.1211188,303,205.5,164.9666667,321,29,-60,0,1243,14.84342626
1,1,-37.59145033,145.1212257,-37.5913455,145.1211188,332,131.9,162.6,321,30,60,0,1233,14.98014725
1,1,-37.59145133,145.1212272,-37.5913455,145.1211188,327,130,155.8,320.8,31,0,20,1215,15.14983022
1,2,-37.59145017,145.1212265,-37.5913455,145.1211188,326,335.5,199.1333333,320.7,32,0,20,1202,15.01229293
1,2,-37.591449,145.1212245,-37.5913455,145.1211188,325,306.2,257.2333333,320.9,33,0,20,1191,14.8003128
1,2,-37.591448,145.121222,-37.5913455,145.1211188,325,296.7,312.8,321.3,3.7,-3.7,40,1173,14.57530113
1,3,-37.59144483,145.1212193,-37.5913455,145.1211188,325,326.2,309.7,321.2,3.8,-3.8,40,1156,14.15379488
1,3,-37.59144133,145.121216,-37.5913455,145.1211188,323,322.8,315.2333333,321.1,1.9,-1.9,40,1140,13.66660238
1,3,-37.59143767,145.1212123,-37.5913455,145.1211188,322,321.5,323.5,321.1,0.9,-0.9,40,1129,13.14653595
1,3,-37.59143367,145.1212082,-37.5913455,145.1211188,321,320.3,321.5333333,321.1,-0.1,0.1,40,1117,12.56994773
1,3,-37.5914295,145.1212043,-37.5913455,145.1211188,320,323.8,321.8666667,321,-1,1,40,1109,11.99746898
1,3,-37.59142533,145.1212005,-37.5913455,145.1211188,325,323.8,322.6333333,320.9,4.1,-4.1,40,1109,11.42505562
1,3,-37.59142133,145.1211967,-37.5913455,145.1211188,324,322.7,323.4333333,320.8,3.2,-3.2,40,1102,10.86703873
1,3,-37.59141767,145.1211927,-37.5913455,145.1211188,329,319,321.8333333,320.9,8.1,-8.1,40,1098,10.32839267
1,3,-37.59141383,145.1211885,-37.5913455,145.1211188,322,319.1,320.2666667,320.9,1.1,-1.1,40,1099,9.766135863
1,3,-37.59141017,145.1211842,-37.5913455,145.1211188,320,316.8,318.3,321.2,-1.2,1.2,40,1094,9.209076547
1,3,-37.5914065,145.1211798,-37.5913455,145.1211188,320,316.8,317.5666667,321.5,-1.5,1.5,40,1090,8.652221425
1,3,-37.59140283,145.1211753,-37.5913455,145.1211188,317,315.7,316.4333333,321.9,-4.9,4.9,40,1083,8.086521336
